panel_number,selected_position_expression,acquisition_position_zero_based,plate_index_zero_based,well_id,PEA2PbI4_pct,BDAPbI4_pct,FAPbI3_pct,histogram_bin_center_v,dark_pixel_count,illuminated_pixel_count,dark_gaussian_fit_at_bin,illuminated_gaussian_fit_at_bin,SP_dark_v,SP_dark_fit_se_v,SP_illuminated_v,SP_illuminated_fit_se_v,delta_SP_v,delta_SP_fit_se_v
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.8666666666666667,1568,671,1533.3878553489067,733.2600532800694,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.8,1905,1293,1831.8498056107937,1398.0843598582685,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.7333333333333334,1642,1968,1809.328226135051,2010.3954022123505,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.6666666666666665,1620,2485,1477.52387124935,2180.230149460321,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.6,1014,1496,997.565236143229,1783.1831569434407,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.5333333333333332,561,1119,556.8494028121082,1099.9230909249868,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.4666666666666668,139,621,256.99451983209843,511.68353104778265,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.4,25,189,98.06174538738753,179.52019546433252,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.3333333333333335,10,30,30.936061861230975,47.50047357135878,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
2,3,3,90,C12,4.0000000000000036,0.0,96.0,-1.2666666666666666,2,5,8.069006925850049,9.478842785772978,-1.7710022852257845,0.004747955231683545,-1.6808364480963693,0.005188953618839518,0.09016583712941517,0.007033371776078589
